"Партнер","Емейл","Промокод","Описание","Отсылка","Сумма","Дата"
"test10@ya.ru","3000.00","Orange с тарифом «Mundo» для Европы - [1 шт.]","","61097","2017-07-01 00:00:00",
"test10@ya.ru","700.00","Orange с тарифом «Mundo» для Европы - [1 шт.]","","61023","2017-09-03 23:34:09",
"test9@ya.ru","900.00","Orange с тарифом «Mundo» для Европы - [1 шт.]","","61024","2017-07-30 00:00:00",
"test9@ya.ru","710.00","Orange с тарифом «Mundo» для Европы - [1 шт.]","","61097","2017-08-03 00:00:00",
"test9@ya.ru","300.00","Orange с тарифом «Mundo» для Европы - [1 шт.]","","61097","2017-09-03 00:00:00",
"test17@ya.ru","700.00","Orange с тарифом «Mundo» для Европы - [1 шт.]","","61097","2017-09-01 00:00:00",
"test17@ya.ru","500.00","Orange с тарифом «Mundo» для Европы - [1 шт.] ","","61097","2017-08-30 11:29:39",
"test17@ya.ru","4250.00","Orange с тарифом «Mundo» для Европы - [7 шт.] GLOBALSIM - самые дешевые тарифы для звонков из Европы в Россию - Nano SIM - [3 шт.] ","","61024","2017-07-28 22:47:45",
"test17@ya.ru","750.00","Orange с тарифом «Mundo» для Европы (Variation ID 59096), GLOBALSIM - самые дешевые тарифы для звонков из Европы в Россию - Nano SIM (Variation ID 59053)","","61023","2017-07-28 22:33:37",
"test17@ya.ru","500.00","Orange с тарифом «Mundo» для Европы (Variation ID 59096)","","61022","2017-07-28 22:30:21",
